"Notes","State","State Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Kentucky","21","2006","2006",438,58250,7.52
"Total","Kentucky","21",,,1574,225652,6.98
,"Louisiana","22","2003","2003",600,65047,9.22
,"Louisiana","22","2004","2004",674,65370,10.31
,"Louisiana","22","2005","2005",600,60937,9.85
,"Louisiana","22","2006","2006",631,63378,9.96
"Total","Louisiana","22",,,2504,254732,9.83
,"Maine","23","2003","2003",70,13855,5.05
,"Maine","23","2004","2004",79,13944,5.67
,"Maine","23","2005","2005",97,14112,6.87
,"Maine","23","2006","2006",89,14151,6.29
"Total","Maine","23",,,335,56062,5.98
,"Maryland","24","2003","2003",617,74930,8.23
,"Maryland","24","2004","2004",631,74628,8.46
,"Maryland","24","2005","2005",547,74980,7.30
,"Maryland","24","2006","2006",616,77494,7.95
"Total","Maryland","24",,,2412,302032,7.99
,"Massachusetts","25","2003","2003",381,80184,4.75
,"Massachusetts","25","2004","2004",377,78484,4.80
,"Massachusetts","25","2005","2005",394,76866,5.13
,"Massachusetts","25","2006","2006",377,77677,4.85
"Total","Massachusetts","25",,,1529,313211,4.88
,"Michigan","26","2003","2003",1124,131100,8.57
,"Michigan","26","2004","2004",983,129776,7.57
,"Michigan","26","2005","2005",1007,127706,7.89
,"Michigan","26","2006","2006",935,127483,7.33
"Total","Michigan","26",,,4050,516065,7.85
,"Minnesota","27","2003","2003",324,70050,4.63
,"Minnesota","27","2004","2004",326,70624,4.62
,"Minnesota","27","2005","2005",361,70919,5.09
,"Minnesota","27","2006","2006",381,73525,5.18
"Total","Minnesota","27",,,1392,285118,4.88
,"Mississippi","28","2003","2003",460,42380,10.85
,"Mississippi","28","2004","2004",424,42827,9.90
,"Mississippi","28","2005","2005",486,42395,11.46
,"Mississippi","28","2006","2006",485,46056,10.53
"Total","Mississippi","28",,,1855,173658,10.68
,"Missouri","29","2003","2003",609,77045,7.90
,"Missouri","29","2004","2004",582,77765,7.48
,"Missouri","29","2005","2005",591,78618,7.52
,"Missouri","29","2006","2006",606,81388,7.45
"Total","Missouri","29",,,2388,314816,7.59
,"Montana","30","2003","2003",82,11422,7.18
,"Montana","30","2004","2004",53,11519,4.60
,"Montana","30","2005","2005",84,11583,7.25
,"Montana","30","2006","2006",75,12508,6.00
"Total","Montana","30",,,294,47032,6.25
,"Nebraska","31","2003","2003",142,25917,5.48
,"Nebraska","31","2004","2004",172,26332,6.53
,"Nebraska","31","2005","2005",148,26145,5.66
,"Nebraska","31","2006","2006",148,26727,5.54
"Total","Nebraska","31",,,610,105121,5.80
,"Nevada","32","2003","2003",192,33647,5.71
,"Nevada","32","2004","2004",219,35200,6.22
,"Nevada","32","2005","2005",211,37268,5.66
,"Nevada","32","2006","2006",265,40027,6.62
"Total","Nevada","32",,,887,146142,6.07
,"New Hampshire","33","2003","2003",60,14393,4.17
,"New Hampshire","33","2004","2004",82,14565,5.63
,"New Hampshire","33","2005","2005",76,14424,5.27
,"New Hampshire","33","2006","2006",85,14378,5.91
"Total","New Hampshire","33",,,303,57760,5.25
,"New Jersey","34","2003","2003",655,116984,5.60
,"New Jersey","34","2004","2004",640,115253,5.55
,"New Jersey","34","2005","2005",588,113778,5.17
,"New Jersey","34","2006","2006",626,115021,5.44
"Total","New Jersey","34",,,2510,461036,5.44
,"New Mexico","35","2003","2003",158,27822,5.68
,"New Mexico","35","2004","2004",184,28384,6.48
,"New Mexico","35","2005","2005",178,28835,6.17
,"New Mexico","35","2006","2006",171,29936,5.71
"Total","New Mexico","35",,,692,114977,6.02
,"New York","36","2003","2003",1546,253714,6.09
,"New York","36","2004","2004",1537,249947,6.15
,"New York","36","2005","2005",1433,246365,5.82
,"New York","36","2006","2006",1411,250103,5.64
"Total","New York","36",,,5927,1000129,5.93
,"North Carolina","37","2003","2003",968,118323,8.18
,"North Carolina","37","2004","2004",1046,119847,8.73
,"North Carolina","37","2005","2005",1085,123096,8.81
,"North Carolina","37","2006","2006",1035,127859,8.09
"Total","North Carolina","37",,,4134,489125,8.45
,"North Dakota","38","2003","2003",58,7972,7.28
,"North Dakota","38","2004","2004",48,8189,5.86
,"North Dakota","38","2005","2005",50,8390,5.96
,"North Dakota","38","2006","2006",51,8621,5.92
"Total","North Dakota","38",,,207,33172,6.24
,"Ohio","39","2003","2003",1162,149691,7.76
,"Ohio","39","2004","2004",1120,148955,7.52
,"Ohio","39","2005","2005",1213,148388,8.17
,"Ohio","39","2006","2006",1168,150599,7.76
"Total","Ohio","39",,,4663,597633,7.80
,"Oklahoma","40","2003","2003",392,50988,7.69
,"Oklahoma","40","2004","2004",407,51306,7.93
,"Oklahoma","40","2005","2005",412,51801,7.95
,"Oklahoma","40","2006","2006",430,54019,7.96
"Total","Oklahoma","40",,,1641,208114,7.89
,"Oregon","41","2003","2003",257,45953,5.59
,"Oregon","41","2004","2004",250,45678,5.47
,"Oregon","41","2005","2005",275,45922,5.99
,"Oregon","41","2006","2006",262,48691,5.38
"Total","Oregon","41",,,1044,186244,5.61
,"Pennsylvania","42","2003","2003",1071,145960,7.34
,"Pennsylvania","42","2004","2004",1050,144748,7.25
,"Pennsylvania","42","2005","2005",1060,145399,7.29
,"Pennsylvania","42","2006","2006",1141,149094,7.65
"Total","Pennsylvania","42",,,4322,585201,7.39
,"Rhode Island","44","2003","2003",89,13209,6.74
,"Rhode Island","44","2004","2004",69,12779,5.40
,"Rhode Island","44","2005","2005",82,12697,6.46
,"Rhode Island","44","2006","2006",77,12373,6.22
"Total","Rhode Island","44",,,317,51058,6.21
,"South Carolina","45","2003","2003",464,55649,8.34
,"South Carolina","45","2004","2004",525,56590,9.28
,"South Carolina","45","2005","2005",546,57711,9.46
,"South Carolina","45","2006","2006",517,62173,8.32
"Total","South Carolina","45",,,2052,232123,8.84
,"South Dakota","46","2003","2003",73,11027,6.62
,"South Dakota","46","2004","2004",90,11338,7.94
,"South Dakota","46","2005","2005",80,11462,6.98
,"South Dakota","46","2006","2006",82,11919,6.88
"Total","South Dakota","46",,,325,45746,7.10
,"Tennessee","47","2003","2003",728,78890,9.23
,"Tennessee","47","2004","2004",686,79642,8.61
,"Tennessee","47","2005","2005",717,81748,8.77
,"Tennessee","47","2006","2006",730,84355,8.65
"Total","Tennessee","47",,,2861,324635,8.81
,"Texas","48","2003","2003",2466,377495,6.53
,"Texas","48","2004","2004",2393,381293,6.28
,"Texas","48","2005","2005",2526,385920,6.55
,"Texas","48","2006","2006",2474,399613,6.19
"Total","Texas","48",,,9859,1544321,6.38
,"Utah","49","2003","2003",250,49860,5.01
,"Utah","49","2004","2004",265,50670,5.23
,"Utah","49","2005","2005",233,51556,4.52
,"Utah","49","2006","2006",274,53504,5.12
"Total","Utah","49",,,1022,205590,4.97
,"Vermont","50","2003","2003",34,6589,5.16
,"Vermont","50","2004","2004",29,6599,4.39
,"Vermont","50","2005","2005",42,6473,6.49
,"Vermont","50","2006","2006",37,6511,5.68
"Total","Vermont","50",,,143,26172,5.46
,"Virginia","51","2003","2003",778,101254,7.68
,"Virginia","51","2004","2004",764,103933,7.35
,"Virginia","51","2005","2005",781,104555,7.47
,"Virginia","51","2006","2006",765,107817,7.10
"Total","Virginia","51",,,3089,417559,7.40
,"Washington","53","2003","2003",450,80489,5.59
,"Washington","53","2004","2004",450,81747,5.50
,"Washington","53","2005","2005",419,82703,5.07
,"Washington","53","2006","2006",408,86876,4.70
"Total","Washington","53",,,1728,331815,5.21
,"West Virginia","54","2003","2003",156,20935,7.45
,"West Virginia","54","2004","2004",158,20880,7.57
,"West Virginia","54","2005","2005",170,20836,8.16
,"West Virginia","54","2006","2006",148,20931,7.07
"Total","West Virginia","54",,,633,83582,7.57
,"Wisconsin","55","2003","2003",458,70040,6.54
,"Wisconsin","55","2004","2004",417,70146,5.94
,"Wisconsin","55","2005","2005",464,70984,6.54
,"Wisconsin","55","2006","2006",461,72340,6.37
"Total","Wisconsin","55",,,1800,283510,6.35
,"Wyoming","56","2003","2003",36,6700,5.37
,"Wyoming","56","2004","2004",60,6807,8.81
,"Wyoming","56","2005","2005",48,7239,6.63
,"Wyoming","56","2006","2006",52,7672,6.78
"Total","Wyoming","56",,,196,28418,6.90
"Total",,,,,112748,16606228,6.79
"---"
"Dataset: Linked Birth / Infant Death Records, 2003-2006"
"Query Parameters:"
"Group By: State; Year of Death"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd.html for more information."
"---"
"Query Date: Aug 3, 2026 9:03:49 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Linked Birth / Infant Deaths on CDC WONDER Online Database. Data are from the Linked Birth / Infant Deaths Records"
"2003-2006, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/lbd-v2006.html on Aug 3, 2026 9:03:49 PM"
"---"
Caveats:
"1. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#WeightFactors-Totals."
"2. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Weight Factors."
