"Notes","State","State Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Alabama","01","2003","2003",515,59552,8.65
,"Alabama","01","2004","2004",517,59510,8.69
,"Alabama","01","2005","2005",576,60453,9.53
,"Alabama","01","2006","2006",568,63232,8.98
"Total","Alabama","01",,,2176,242747,8.96
,"Alaska","02","2003","2003",69,10086,6.84
,"Alaska","02","2004","2004",68,10338,6.58
,"Alaska","02","2005","2005",62,10459,5.93
,"Alaska","02","2006","2006",77,10996,7.00
"Total","Alaska","02",,,276,41879,6.59
,"Arizona","04","2003","2003",591,90967,6.50
,"Arizona","04","2004","2004",630,93663,6.73
,"Arizona","04","2005","2005",659,96199,6.85
,"Arizona","04","2006","2006",651,102430,6.36
"Total","Arizona","04",,,2531,383259,6.60
,"Arkansas","05","2003","2003",327,37784,8.65
,"Arkansas","05","2004","2004",323,38573,8.37
,"Arkansas","05","2005","2005",307,39208,7.83
,"Arkansas","05","2006","2006",346,40961,8.45
"Total","Arkansas","05",,,1304,156526,8.33
,"California","06","2003","2003",2800,540997,5.18
,"California","06","2004","2004",2812,544844,5.16
,"California","06","2005","2005",2918,548882,5.32
,"California","06","2006","2006",2835,562440,5.04
"Total","California","06",,,11364,2197163,5.17
,"Colorado","08","2003","2003",425,69339,6.13
,"Colorado","08","2004","2004",427,68503,6.23
,"Colorado","08","2005","2005",444,68944,6.44
,"Colorado","08","2006","2006",408,70751,5.77
"Total","Colorado","08",,,1704,277537,6.14
,"Connecticut","09","2003","2003",228,42873,5.32
,"Connecticut","09","2004","2004",229,42095,5.44
,"Connecticut","09","2005","2005",244,41718,5.85
,"Connecticut","09","2006","2006",258,41820,6.17
"Total","Connecticut","09",,,959,168506,5.69
,"Delaware","10","2003","2003",107,11329,9.44
,"Delaware","10","2004","2004",98,11369,8.62
,"Delaware","10","2005","2005",105,11643,9.02
,"Delaware","10","2006","2006",97,11989,8.09
"Total","Delaware","10",,,407,46330,8.78
,"District of Columbia","11","2003","2003",81,7619,10.63
,"District of Columbia","11","2004","2004",97,7933,12.23
,"District of Columbia","11","2005","2005",109,7971,13.67
,"District of Columbia","11","2006","2006",101,8523,11.85
"Total","District of Columbia","11",,,389,32046,12.14
,"Florida","12","2003","2003",1586,212250,7.47
,"Florida","12","2004","2004",1530,218053,7.02
,"Florida","12","2005","2005",1639,226243,7.24
,"Florida","12","2006","2006",1720,236802,7.26
"Total","Florida","12",,,6475,893348,7.25
,"Georgia","13","2003","2003",1152,135980,8.47
,"Georgia","13","2004","2004",1184,138849,8.53
,"Georgia","13","2005","2005",1148,142200,8.07
,"Georgia","13","2006","2006",1200,148633,8.07
"Total","Georgia","13",,,4684,565662,8.28
,"Hawaii","15","2003","2003",138,18100,7.62
,"Hawaii","15","2004","2004",106,18281,5.80
,"Hawaii","15","2005","2005",118,17924,6.58
,"Hawaii","15","2006","2006",111,18983,5.85
"Total","Hawaii","15",,,473,73288,6.45
,"Idaho","16","2003","2003",137,21800,6.28
,"Idaho","16","2004","2004",137,22532,6.08
,"Idaho","16","2005","2005",138,23062,5.98
,"Idaho","16","2006","2006",165,24184,6.82
"Total","Idaho","16",,,577,91578,6.30
,"Illinois","17","2003","2003",1406,182495,7.70
,"Illinois","17","2004","2004",1357,180778,7.51
,"Illinois","17","2005","2005",1322,179020,7.38
,"Illinois","17","2006","2006",1317,180573,7.29
"Total","Illinois","17",,,5403,722866,7.47
,"Indiana","18","2003","2003",665,86434,7.69
,"Indiana","18","2004","2004",687,87142,7.88
,"Indiana","18","2005","2005",701,87193,8.04
,"Indiana","18","2006","2006",701,88632,7.91
"Total","Indiana","18",,,2753,349401,7.88
,"Iowa","19","2003","2003",217,38174,5.68
,"Iowa","19","2004","2004",195,38438,5.07
,"Iowa","19","2005","2005",214,39311,5.44
,"Iowa","19","2006","2006",208,40607,5.12
"Total","Iowa","19",,,834,156530,5.33
,"Kansas","20","2003","2003",262,39476,6.64
,"Kansas","20","2004","2004",291,39669,7.34
,"Kansas","20","2005","2005",294,39888,7.37
,"Kansas","20","2006","2006",293,40968,7.15
"Total","Kansas","20",,,1140,160001,7.12
,"Kentucky","21","2003","2003",376,55238,6.81
,"Kentucky","21","2004","2004",380,55720,6.82
,"Kentucky","21","2005","2005",380,56444,6.73
