"Notes","State","State Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Illinois","17","2002","2002",1334,180622,7.39
"Total","Illinois","17",,,5862,731792,8.01
,"Indiana","18","1999","1999",695,86031,8.08
,"Indiana","18","2000","2000",683,87699,7.79
,"Indiana","18","2001","2001",652,86459,7.54
,"Indiana","18","2002","2002",660,85086,7.76
"Total","Indiana","18",,,2690,345275,7.79
,"Iowa","19","1999","1999",213,37558,5.67
,"Iowa","19","2000","2000",246,38266,6.43
,"Iowa","19","2001","2001",213,37620,5.66
,"Iowa","19","2002","2002",200,37559,5.32
"Total","Iowa","19",,,872,151003,5.77
,"Kansas","20","1999","1999",286,38782,7.37
,"Kansas","20","2000","2000",260,39666,6.55
,"Kansas","20","2001","2001",289,38869,7.44
,"Kansas","20","2002","2002",282,39412,7.16
"Total","Kansas","20",,,1118,156729,7.13
,"Kentucky","21","1999","1999",405,54403,7.44
,"Kentucky","21","2000","2000",398,56031,7.10
,"Kentucky","21","2001","2001",322,54659,5.89
,"Kentucky","21","2002","2002",389,54234,7.17
"Total","Kentucky","21",,,1515,219327,6.91
,"Louisiana","22","1999","1999",623,67136,9.28
,"Louisiana","22","2000","2000",613,67905,9.03
,"Louisiana","22","2001","2001",651,65353,9.96
,"Louisiana","22","2002","2002",668,64880,10.30
"Total","Louisiana","22",,,2555,265274,9.63
,"Maine","23","1999","1999",67,13616,4.92
,"Maine","23","2000","2000",66,13603,4.85
,"Maine","23","2001","2001",85,13759,6.18
,"Maine","23","2002","2002",58,13559,4.28
"Total","Maine","23",,,276,54537,5.06
,"Maryland","24","1999","1999",604,71967,8.39
,"Maryland","24","2000","2000",558,74318,7.51
,"Maryland","24","2001","2001",591,73218,8.07
,"Maryland","24","2002","2002",555,73323,7.57
"Total","Maryland","24",,,2308,292826,7.88
,"Massachusetts","25","1999","1999",420,80939,5.19
,"Massachusetts","25","2000","2000",376,81614,4.61
,"Massachusetts","25","2001","2001",404,81079,4.98
,"Massachusetts","25","2002","2002",391,80646,4.85
"Total","Massachusetts","25",,,1590,324278,4.90
,"Michigan","26","1999","1999",1075,133607,8.05
,"Michigan","26","2000","2000",1115,136177,8.19
,"Michigan","26","2001","2001",1066,133431,7.99
,"Michigan","26","2002","2002",1056,129968,8.13
"Total","Michigan","26",,,4312,533183,8.09
,"Minnesota","27","1999","1999",408,65970,6.18
,"Minnesota","27","2000","2000",380,67604,5.62
,"Minnesota","27","2001","2001",365,67562,5.40
,"Minnesota","27","2002","2002",363,68025,5.34
"Total","Minnesota","27",,,1516,269161,5.63
,"Mississippi","28","1999","1999",431,42684,10.10
,"Mississippi","28","2000","2000",469,44075,10.64
,"Mississippi","28","2001","2001",445,42282,10.52
,"Mississippi","28","2002","2002",423,41518,10.19
"Total","Mississippi","28",,,1769,170559,10.37
,"Missouri","29","1999","1999",579,75432,7.68
,"Missouri","29","2000","2000",550,76463,7.19
,"Missouri","29","2001","2001",554,75468,7.34
,"Missouri","29","2002","2002",638,75251,8.48
"Total","Missouri","29",,,2320,302614,7.67
,"Montana","30","1999","1999",71,10785,6.58
,"Montana","30","2000","2000",66,10957,6.02
,"Montana","30","2001","2001",80,10970,7.29
,"Montana","30","2002","2002",83,11049,7.51
"Total","Montana","30",,,300,43761,6.86
,"Nebraska","31","1999","1999",158,23907,6.61
,"Nebraska","31","2000","2000",177,24646,7.18
,"Nebraska","31","2001","2001",168,24820,6.77
,"Nebraska","31","2002","2002",178,25383,7.01
"Total","Nebraska","31",,,681,98756,6.90
,"Nevada","32","1999","1999",192,29362,6.54
,"Nevada","32","2000","2000",199,30829,6.45
,"Nevada","32","2001","2001",176,31382,5.61
,"Nevada","32","2002","2002",198,32571,6.08
"Total","Nevada","32",,,765,124144,6.16
,"New Hampshire","33","1999","1999",83,14041,5.91
,"New Hampshire","33","2000","2000",85,14609,5.82
,"New Hampshire","33","2001","2001",56,14656,3.82
,"New Hampshire","33","2002","2002",72,14442,4.99
"Total","New Hampshire","33",,,296,57748,5.13
,"New Jersey","34","1999","1999",762,114105,6.68
,"New Jersey","34","2000","2000",724,115632,6.26
,"New Jersey","34","2001","2001",741,115797,6.40
,"New Jersey","34","2002","2002",656,114752,5.72
"Total","New Jersey","34",,,2883,460286,6.26
,"New Mexico","35","1999","1999",185,27191,6.80
,"New Mexico","35","2000","2000",183,27226,6.72
,"New Mexico","35","2001","2001",173,27129,6.38
,"New Mexico","35","2002","2002",170,27754,6.13
"Total","New Mexico","35",,,712,109300,6.51
,"New York","36","1999","1999",1624,255612,6.35
,"New York","36","2000","2000",1655,258737,6.40
,"New York","36","2001","2001",1486,254026,5.85
,"New York","36","2002","2002",1508,251415,6.00
"Total","New York","36",,,6273,1019790,6.15
,"North Carolina","37","1999","1999",1035,113795,9.10
,"North Carolina","37","2000","2000",1035,120311,8.60
,"North Carolina","37","2001","2001",1012,118186,8.56
,"North Carolina","37","2002","2002",955,117335,8.14
"Total","North Carolina","37",,,4037,469627,8.60
,"North Dakota","38","1999","1999",52,7639,6.81
,"North Dakota","38","2000","2000",64,7676,8.34
,"North Dakota","38","2001","2001",68,7629,8.91
,"North Dakota","38","2002","2002",49,7757,6.32
"Total","North Dakota","38",,,233,30701,7.59
,"Ohio","39","1999","1999",1241,152584,8.13
,"Ohio","39","2000","2000",1191,155484,7.66
,"Ohio","39","2001","2001",1159,151594,7.65
,"Ohio","39","2002","2002",1181,148743,7.94
"Total","Ohio","39",,,4771,608405,7.84
,"Oklahoma","40","1999","1999",420,49010,8.57
,"Oklahoma","40","2000","2000",418,49785,8.40
,"Oklahoma","40","2001","2001",369,50120,7.36
,"Oklahoma","40","2002","2002",415,50391,8.24
"Total","Oklahoma","40",,,1621,199306,8.13
,"Oregon","41","1999","1999",258,45204,5.71
,"Oregon","41","2000","2000",255,45804,5.57
,"Oregon","41","2001","2001",243,45322,5.36
,"Oregon","41","2002","2002",258,45192,5.71
"Total","Oregon","41",,,1014,181522,5.59
,"Pennsylvania","42","1999","1999",1067,145347,7.34
,"Pennsylvania","42","2000","2000",1039,146284,7.10
,"Pennsylvania","42","2001","2001",1035,143497,7.21
,"Pennsylvania","42","2002","2002",1088,142869,7.62
"Total","Pennsylvania","42",,,4228,577997,7.31
,"Rhode Island","44","1999","1999",71,12366,5.74
,"Rhode Island","44","2000","2000",78,12505,6.24
,"Rhode Island","44","2001","2001",87,12713,6.84
,"Rhode Island","44","2002","2002",91,12894,7.06
"Total","Rhode Island","44",,,327,50478,6.48
,"South Carolina","45","1999","1999",562,54948,10.23
,"South Carolina","45","2000","2000",492,56114,8.77
,"South Carolina","45","2001","2001",502,55756,9.00
,"South Carolina","45","2002","2002",508,54570,9.31
"Total","South Carolina","45",,,2064,221388,9.32
,"South Dakota","46","1999","1999",93,10524,8.84
,"South Dakota","46","2000","2000",54,10345,5.22
,"South Dakota","46","2001","2001",76,10483,7.25
,"South Dakota","46","2002","2002",72,10698,6.73
"Total","South Dakota","46",,,295,42050,7.02
,"Tennessee","47","1999","1999",603,77803,7.75
,"Tennessee","47","2000","2000",725,79611,9.11
,"Tennessee","47","2001","2001",682,78340,8.71
,"Tennessee","47","2002","2002",721,77482,9.31
"Total","Tennessee","47",,,2731,313236,8.72
,"Texas","48","1999","1999",2143,349245,6.14
,"Texas","48","2000","2000",2036,363426,5.60
,"Texas","48","2001","2001",2146,365437,5.87
,"Texas","48","2002","2002",2353,372463,6.32
"Total","Texas","48",,,8678,1450571,5.98
,"Utah","49","1999","1999",225,46290,4.86
,"Utah","49","2000","2000",252,47353,5.32
,"Utah","49","2001","2001",235,47960,4.90
,"Utah","49","2002","2002",273,49183,5.55
"Total","Utah","49",,,986,190786,5.17
,"Vermont","50","1999","1999",36,6567,5.48
,"Vermont","50","2000","2000",42,6500,6.46
,"Vermont","50","2001","2001",36,6366,5.66
,"Vermont","50","2002","2002",28,6387,4.38
"Total","Vermont","50",,,142,25820,5.50
,"Virginia","51","1999","1999",681,95469,7.13
,"Virginia","51","2000","2000",684,98939,6.91
,"Virginia","51","2001","2001",735,98884,7.43
,"Virginia","51","2002","2002",737,99672,7.39
"Total","Virginia","51",,,2838,392964,7.22
,"Washington","53","1999","1999",395,79586,4.96
,"Washington","53","2000","2000",421,81038,5.20
,"Washington","53","2001","2001",453,79574,5.69
,"Washington","53","2002","2002",455,79031,5.76
"Total","Washington","53",,,1724,319229,5.40
,"West Virginia","54","1999","1999",154,20728,7.43
,"West Virginia","54","2000","2000",154,20865,7.38
,"West Virginia","54","2001","2001",150,20428,7.34
,"West Virginia","54","2002","2002",185,20712,8.93
"Total","West Virginia","54",,,643,82733,7.77
,"Wisconsin","55","1999","1999",455,68208,6.67
,"Wisconsin","55","2000","2000",460,69326,6.64
,"Wisconsin","55","2001","2001",492,69072,7.12
,"Wisconsin","55","2002","2002",468,68560,6.83
"Total","Wisconsin","55",,,1875,275166,6.81
,"Wyoming","56","1999","1999",42,6129,6.85
,"Wyoming","56","2000","2000",42,6253,6.72
,"Wyoming","56","2001","2001",37,6115,6.05
,"Wyoming","56","2002","2002",44,6550,6.72
"Total","Wyoming","56",,,165,25047,6.59
"Total",,,,,111317,16066160,6.93
"---"
"Dataset: Linked Birth / Infant Death Records, 1999-2002"
"Query Parameters:"
"Group By: State; Year of Death"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd.html for more information."
"---"
"Query Date: Aug 3, 2026 9:02:51 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Linked Birth / Infant Deaths on CDC WONDER Online Database. Data are from the Linked Birth / Infant Deaths Records"
"1999-2002, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/lbd-v2002.html on Aug 3, 2026 9:02:51 PM"
"---"
Caveats:
"1. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#WeightFactors-Totals."
"2. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Weight Factors."
