"Notes","State","State Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Alabama","01","1999","1999",602,62122,9.69
,"Alabama","01","2000","2000",602,63299,9.51
,"Alabama","01","2001","2001",564,60454,9.33
,"Alabama","01","2002","2002",538,58968,9.12
"Total","Alabama","01",,,2306,244843,9.42
,"Alaska","02","1999","1999",60,9950,6.03
,"Alaska","02","2000","2000",69,9974,6.92
,"Alaska","02","2001","2001",79,10004,7.90
,"Alaska","02","2002","2002",56,9938,5.63
"Total","Alaska","02",,,264,39866,6.62
,"Arizona","04","1999","1999",544,81145,6.70
,"Arizona","04","2000","2000",576,85273,6.75
,"Arizona","04","2001","2001",595,85597,6.95
,"Arizona","04","2002","2002",564,87837,6.42
"Total","Arizona","04",,,2278,339852,6.70
,"Arkansas","05","1999","1999",293,36729,7.98
,"Arkansas","05","2000","2000",311,37783,8.23
,"Arkansas","05","2001","2001",309,37010,8.35
,"Arkansas","05","2002","2002",313,37437,8.36
"Total","Arkansas","05",,,1226,148959,8.23
,"California","06","1999","1999",2796,518508,5.39
,"California","06","2000","2000",2882,531971,5.42
,"California","06","2001","2001",2823,527784,5.35
,"California","06","2002","2002",2873,529372,5.43
"Total","California","06",,,11374,2107635,5.40
,"Colorado","08","1999","1999",411,62167,6.61
,"Colorado","08","2000","2000",402,65438,6.14
,"Colorado","08","2001","2001",390,67007,5.82
,"Colorado","08","2002","2002",409,68418,5.98
"Total","Colorado","08",,,1612,263030,6.13
,"Connecticut","09","1999","1999",260,43310,6.00
,"Connecticut","09","2000","2000",280,43026,6.51
,"Connecticut","09","2001","2001",258,42648,6.05
,"Connecticut","09","2002","2002",273,42002,6.50
"Total","Connecticut","09",,,1071,170986,6.26
,"Delaware","10","1999","1999",80,10676,7.49
,"Delaware","10","2000","2000",106,11051,9.59
,"Delaware","10","2001","2001",114,10749,10.61
,"Delaware","10","2002","2002",95,11090,8.57
"Total","Delaware","10",,,395,43566,9.07
,"District of Columbia","11","1999","1999",120,7522,15.95
,"District of Columbia","11","2000","2000",93,7666,12.13
,"District of Columbia","11","2001","2001",83,7625,10.89
,"District of Columbia","11","2002","2002",85,7498,11.34
"Total","District of Columbia","11",,,381,30311,12.57
,"Florida","12","1999","1999",1436,197023,7.29
,"Florida","12","2000","2000",1410,204126,6.91
,"Florida","12","2001","2001",1493,205793,7.25
,"Florida","12","2002","2002",1547,205579,7.53
"Total","Florida","12",,,5886,812521,7.24
,"Georgia","13","1999","1999",1039,126717,8.20
,"Georgia","13","2000","2000",1121,132644,8.45
,"Georgia","13","2001","2001",1142,133526,8.55
,"Georgia","13","2002","2002",1195,133301,8.96
"Total","Georgia","13",,,4497,526188,8.55
,"Hawaii","15","1999","1999",121,17038,7.10
,"Hawaii","15","2000","2000",142,17551,8.09
,"Hawaii","15","2001","2001",103,17072,6.03
,"Hawaii","15","2002","2002",130,17477,7.44
"Total","Hawaii","15",,,496,69138,7.17
,"Idaho","16","1999","1999",133,19872,6.69
,"Idaho","16","2000","2000",154,20366,7.56
,"Idaho","16","2001","2001",130,20688,6.28
,"Idaho","16","2002","2002",127,20970,6.06
"Total","Idaho","16",,,545,81896,6.65
,"Illinois","17","1999","1999",1554,182068,8.54
,"Illinois","17","2000","2000",1569,185038,8.48
,"Illinois","17","2001","2001",1405,184064,7.63
