"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Mother's Bridged Race/Hispanic Origin"	"Mother's Bridged Race/Hispanic Origin Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"2003"	"2003"	"Non-Hispanic White"	"6"	245	37996	6.45
	"Alabama"	"01"	"2003"	"2003"	"Non-Hispanic Black"	"7"	242	17887	13.53
	"Alabama"	"01"	"2004"	"2004"	"Non-Hispanic White"	"6"	247	37209	6.64
	"Alabama"	"01"	"2004"	"2004"	"Non-Hispanic Black"	"7"	233	17972	12.96
	"Alabama"	"01"	"2005"	"2005"	"Non-Hispanic White"	"6"	276	37302	7.40
	"Alabama"	"01"	"2005"	"2005"	"Non-Hispanic Black"	"7"	260	18057	14.40
	"Alabama"	"01"	"2006"	"2006"	"Non-Hispanic White"	"6"	264	38118	6.93
	"Alabama"	"01"	"2006"	"2006"	"Non-Hispanic Black"	"7"	268	19333	13.86
	"Alaska"	"02"	"2003"	"2003"	"Non-Hispanic White"	"6"	28	4917	5.69
	"Alaska"	"02"	"2004"	"2004"	"Non-Hispanic White"	"6"	29	5130	5.65
	"Alaska"	"02"	"2005"	"2005"	"Non-Hispanic White"	"6"	28	5947	4.71
	"Alaska"	"02"	"2006"	"2006"	"Non-Hispanic White"	"6"	30	6291	4.77
	"Arizona"	"04"	"2003"	"2003"	"Non-Hispanic White"	"6"	212	39222	5.41
	"Arizona"	"04"	"2003"	"2003"	"Non-Hispanic Black"	"7"	35	2636	13.28
	"Arizona"	"04"	"2004"	"2004"	"Non-Hispanic White"	"6"	242	39632	6.11
	"Arizona"	"04"	"2004"	"2004"	"Non-Hispanic Black"	"7"	28	2821	9.93
	"Arizona"	"04"	"2005"	"2005"	"Non-Hispanic White"	"6"	261	40065	6.51
	"Arizona"	"04"	"2005"	"2005"	"Non-Hispanic Black"	"7"	32	3019	10.60
	"Arizona"	"04"	"2006"	"2006"	"Non-Hispanic White"	"6"	242	43373	5.58
