"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"1995"	"1995"	"Non-Hispanic White"	"6"	282	39073	7.22
	"Alabama"	"01"	"1995"	"1995"	"Non-Hispanic Black"	"7"	295	19830	14.88
	"Alabama"	"01"	"1996"	"1996"	"Non-Hispanic White"	"6"	317	39326	8.06
	"Alabama"	"01"	"1996"	"1996"	"Non-Hispanic Black"	"7"	298	19536	15.25
	"Alabama"	"01"	"1997"	"1997"	"Non-Hispanic White"	"6"	293	39402	7.44
	"Alabama"	"01"	"1997"	"1997"	"Non-Hispanic Black"	"7"	267	19798	13.49
	"Alabama"	"01"	"1998"	"1998"	"Non-Hispanic White"	"6"	306	40203	7.61
	"Alabama"	"01"	"1998"	"1998"	"Non-Hispanic Black"	"7"	308	20021	15.38
	"Alaska"	"02"	"1995"	"1995"	"Non-Hispanic White"	"6"	36	6581	5.47
	"Alaska"	"02"	"1995"	"1995"	"Non-Hispanic Black"	"7"	Suppressed	421	Suppressed
	"Alaska"	"02"	"1996"	"1996"	"Non-Hispanic White"	"6"	30	6300	4.76
	"Alaska"	"02"	"1996"	"1996"	"Non-Hispanic Black"	"7"	Suppressed	387	Suppressed
	"Alaska"	"02"	"1997"	"1997"	"Non-Hispanic White"	"6"	43	6110	7.04
	"Alaska"	"02"	"1997"	"1997"	"Non-Hispanic Black"	"7"	Suppressed	444	Suppressed
	"Alaska"	"02"	"1998"	"1998"	"Non-Hispanic White"	"6"	27	6148	4.39
	"Alaska"	"02"	"1998"	"1998"	"Non-Hispanic Black"	"7"	Suppressed	386	Suppressed
	"Arizona"	"04"	"1995"	"1995"	"Non-Hispanic White"	"6"	290	38474	7.54
	"Arizona"	"04"	"1995"	"1995"	"Non-Hispanic Black"	"7"	30	2166	13.85
	"Arizona"	"04"	"1996"	"1996"	"Non-Hispanic White"	"6"	271	38602	7.02
	"Arizona"	"04"	"1996"	"1996"	"Non-Hispanic Black"	"7"	40	2249	17.79
	"Arizona"	"04"	"1997"	"1997"	"Non-Hispanic White"	"6"	250	37860	6.60
	"Arizona"	"04"	"1997"	"1997"	"Non-Hispanic Black"	"7"	26	2375	10.95
	"Arizona"	"04"	"1998"	"1998"	"Non-Hispanic White"	"6"	276	38621	7.15
	"Arizona"	"04"	"1998"	"1998"	"Non-Hispanic Black"	"7"	33	2465	13.39
	"Arkansas"	"05"	"1995"	"1995"	"Non-Hispanic White"	"6"	184	25962	7.09
	"Arkansas"	"05"	"1995"	"1995"	"Non-Hispanic Black"	"7"	103	7648	13.47
	"Arkansas"	"05"	"1996"	"1996"	"Non-Hispanic White"	"6"	222	26572	8.35
	"Arkansas"	"05"	"1996"	"1996"	"Non-Hispanic Black"	"7"	108	7871	13.72
	"Arkansas"	"05"	"1997"	"1997"	"Non-Hispanic White"	"6"	202	26506	7.62
	"Arkansas"	"05"	"1997"	"1997"	"Non-Hispanic Black"	"7"	101	7799	12.95
	"Arkansas"	"05"	"1998"	"1998"	"Non-Hispanic White"	"6"	197	26545	7.42
	"Arkansas"	"05"	"1998"	"1998"	"Non-Hispanic Black"	"7"	111	7970	13.93
	"California"	"06"	"1995"	"1995"	"Non-Hispanic White"	"6"	1126	196695	5.72
	"California"	"06"	"1995"	"1995"	"Non-Hispanic Black"	"7"	529	39284	13.47
	"California"	"06"	"1996"	"1996"	"Non-Hispanic White"	"6"	986	185659	5.31
	"California"	"06"	"1996"	"1996"	"Non-Hispanic Black"	"7"	459	37133	12.36
	"California"	"06"	"1997"	"1997"	"Non-Hispanic White"	"6"	941	177863	5.29
	"California"	"06"	"1997"	"1997"	"Non-Hispanic Black"	"7"	447	36109	12.38
	"California"	"06"	"1998"	"1998"	"Non-Hispanic White"	"6"	914	176886	5.17
	"California"	"06"	"1998"	"1998"	"Non-Hispanic Black"	"7"	422	35282	11.96
	"Colorado"	"08"	"1995"	"1995"	"Non-Hispanic White"	"6"	222	38142	5.82
	"Colorado"	"08"	"1995"	"1995"	"Non-Hispanic Black"	"7"	38	2518	15.09
	"Colorado"	"08"	"1996"	"1996"	"Non-Hispanic White"	"6"	233	38667	6.03
	"Colorado"	"08"	"1996"	"1996"	"Non-Hispanic Black"	"7"	31	2452	12.64
	"Colorado"	"08"	"1997"	"1997"	"Non-Hispanic White"	"6"	254	38685	6.57
	"Colorado"	"08"	"1997"	"1997"	"Non-Hispanic Black"	"7"	32	2487	12.87
	"Colorado"	"08"	"1998"	"1998"	"Non-Hispanic White"	"6"	237	39936	5.93
	"Colorado"	"08"	"1998"	"1998"	"Non-Hispanic Black"	"7"	44	2761	15.94
	"Connecticut"	"09"	"1995"	"1995"	"Non-Hispanic White"	"6"	179	30867	5.80
	"Connecticut"	"09"	"1995"	"1995"	"Non-Hispanic Black"	"7"	60	4974	12.06
	"Connecticut"	"09"	"1996"	"1996"	"Non-Hispanic White"	"6"	145	30617	4.74
	"Connecticut"	"09"	"1996"	"1996"	"Non-Hispanic Black"	"7"	74	4845	15.27
	"Connecticut"	"09"	"1997"	"1997"	"Non-Hispanic White"	"6"	153	28433	5.38
	"Connecticut"	"09"	"1997"	"1997"	"Non-Hispanic Black"	"7"	66	4896	13.48
	"Connecticut"	"09"	"1998"	"1998"	"Non-Hispanic White"	"6"	131	28845	4.54
	"Connecticut"	"09"	"1998"	"1998"	"Non-Hispanic Black"	"7"	81	4990	16.23
	"Delaware"	"10"	"1995"	"1995"	"Non-Hispanic White"	"6"	44	7134	6.17
	"Delaware"	"10"	"1995"	"1995"	"Non-Hispanic Black"	"7"	26	2326	11.18
	"Delaware"	"10"	"1996"	"1996"	"Non-Hispanic White"	"6"	44	6899	6.38
	"Delaware"	"10"	"1996"	"1996"	"Non-Hispanic Black"	"7"	31	2348	13.20
	"Delaware"	"10"	"1997"	"1997"	"Non-Hispanic White"	"6"	42	6864	6.12
	"Delaware"	"10"	"1997"	"1997"	"Non-Hispanic Black"	"7"	35	2462	14.22
	"Delaware"	"10"	"1998"	"1998"	"Non-Hispanic White"	"6"	52	6937	7.50
	"Delaware"	"10"	"1998"	"1998"	"Non-Hispanic Black"	"7"	46	2604	17.67
	"District of Columbia"	"11"	"1995"	"1995"	"Non-Hispanic White"	"6"	Suppressed	1354	Suppressed
	"District of Columbia"	"11"	"1995"	"1995"	"Non-Hispanic Black"	"7"	131	6736	19.45
	"District of Columbia"	"11"	"1996"	"1996"	"Non-Hispanic White"	"6"	Suppressed	1247	Suppressed
	"District of Columbia"	"11"	"1996"	"1996"	"Non-Hispanic Black"	"7"	113	6131	18.43
	"District of Columbia"	"11"	"1997"	"1997"	"Non-Hispanic White"	"6"	Suppressed	1274	Suppressed
	"District of Columbia"	"11"	"1997"	"1997"	"Non-Hispanic Black"	"7"	100	5677	17.61
	"District of Columbia"	"11"	"1998"	"1998"	"Non-Hispanic White"	"6"	Suppressed	1314	Suppressed
	"District of Columbia"	"11"	"1998"	"1998"	"Non-Hispanic Black"	"7"	83	5435	15.27
	"Florida"	"12"	"1995"	"1995"	"Non-Hispanic White"	"6"	669	108831	6.15
	"Florida"	"12"	"1995"	"1995"	"Non-Hispanic Black"	"7"	529	41191	12.84
	"Florida"	"12"	"1996"	"1996"	"Non-Hispanic White"	"6"	665	107900	6.16
	"Florida"	"12"	"1996"	"1996"	"Non-Hispanic Black"	"7"	521	41305	12.61
	"Florida"	"12"	"1997"	"1997"	"Non-Hispanic White"	"6"	639	107757	5.93
	"Florida"	"12"	"1997"	"1997"	"Non-Hispanic Black"	"7"	521	42546	12.25
	"Florida"	"12"	"1998"	"1998"	"Non-Hispanic White"	"6"	671	107754	6.23
	"Florida"	"12"	"1998"	"1998"	"Non-Hispanic Black"	"7"	534	43483	12.28
	"Georgia"	"13"	"1995"	"1995"	"Non-Hispanic White"	"6"	424	66497	6.38
	"Georgia"	"13"	"1995"	"1995"	"Non-Hispanic Black"	"7"	581	38217	15.20
	"Georgia"	"13"	"1996"	"1996"	"Non-Hispanic White"	"6"	427	66346	6.44
	"Georgia"	"13"	"1996"	"1996"	"Non-Hispanic Black"	"7"	565	38167	14.80
	"Georgia"	"13"	"1997"	"1997"	"Non-Hispanic White"	"6"	426	67874	6.28
	"Georgia"	"13"	"1997"	"1997"	"Non-Hispanic Black"	"7"	519	39404	13.17
	"Georgia"	"13"	"1998"	"1998"	"Non-Hispanic White"	"6"	421	69495	6.06
	"Georgia"	"13"	"1998"	"1998"	"Non-Hispanic Black"	"7"	536	40913	13.10
	"Hawaii"	"15"	"1995"	"1995"	"Non-Hispanic White"	"6"	22	4311	5.10
	"Hawaii"	"15"	"1995"	"1995"	"Non-Hispanic Black"	"7"	10	540	18.52 (Unreliable)
	"Hawaii"	"15"	"1996"	"1996"	"Non-Hispanic White"	"6"	22	4118	5.34
	"Hawaii"	"15"	"1996"	"1996"	"Non-Hispanic Black"	"7"	Suppressed	489	Suppressed
	"Hawaii"	"15"	"1997"	"1997"	"Non-Hispanic White"	"6"	19	3766	5.05 (Unreliable)
	"Hawaii"	"15"	"1997"	"1997"	"Non-Hispanic Black"	"7"	Suppressed	550	Suppressed
	"Hawaii"	"15"	"1998"	"1998"	"Non-Hispanic White"	"6"	22	3529	6.23
	"Hawaii"	"15"	"1998"	"1998"	"Non-Hispanic Black"	"7"	Suppressed	524	Suppressed
	"Idaho"	"16"	"1995"	"1995"	"Non-Hispanic White"	"6"	88	15375	5.72
	"Idaho"	"16"	"1995"	"1995"	"Non-Hispanic Black"	"7"	Suppressed	71	Suppressed
	"Idaho"	"16"	"1996"	"1996"	"Non-Hispanic White"	"6"	109	15614	6.98
	"Idaho"	"16"	"1997"	"1997"	"Non-Hispanic White"	"6"	99	15387	6.43
	"Idaho"	"16"	"1998"	"1998"	"Non-Hispanic White"	"6"	103	16091	6.40
	"Idaho"	"16"	"1998"	"1998"	"Non-Hispanic Black"	"7"	Suppressed	80	Suppressed
	"Illinois"	"17"	"1995"	"1995"	"Non-Hispanic White"	"6"	777	110180	7.05
	"Illinois"	"17"	"1995"	"1995"	"Non-Hispanic Black"	"7"	683	37308	18.31
	"Illinois"	"17"	"1996"	"1996"	"Non-Hispanic White"	"6"	678	107706	6.29
	"Illinois"	"17"	"1996"	"1996"	"Non-Hispanic Black"	"7"	635	36014	17.63
	"Illinois"	"17"	"1997"	"1997"	"Non-Hispanic White"	"6"	659	105487	6.25
	"Illinois"	"17"	"1997"	"1997"	"Non-Hispanic Black"	"7"	583	35256	16.54
	"Illinois"	"17"	"1998"	"1998"	"Non-Hispanic White"	"6"	655	105367	6.22
	"Illinois"	"17"	"1998"	"1998"	"Non-Hispanic Black"	"7"	604	35481	17.02
	"Indiana"	"18"	"1995"	"1995"	"Non-Hispanic White"	"6"	519	70525	7.36
	"Indiana"	"18"	"1995"	"1995"	"Non-Hispanic Black"	"7"	140	8674	16.14
	"Indiana"	"18"	"1996"	"1996"	"Non-Hispanic White"	"6"	536	70539	7.60
	"Indiana"	"18"	"1996"	"1996"	"Non-Hispanic Black"	"7"	143	8759	16.33
	"Indiana"	"18"	"1997"	"1997"	"Non-Hispanic White"	"6"	523	69840	7.49
	"Indiana"	"18"	"1997"	"1997"	"Non-Hispanic Black"	"7"	125	8749	14.29
	"Indiana"	"18"	"1998"	"1998"	"Non-Hispanic White"	"6"	468	70642	6.62
	"Indiana"	"18"	"1998"	"1998"	"Non-Hispanic Black"	"7"	139	9222	15.07
	"Iowa"	"19"	"1995"	"1995"	"Non-Hispanic White"	"6"	262	33463	7.83
	"Iowa"	"19"	"1995"	"1995"	"Non-Hispanic Black"	"7"	15	963	15.58 (Unreliable)
	"Iowa"	"19"	"1996"	"1996"	"Non-Hispanic White"	"6"	217	33311	6.51
	"Iowa"	"19"	"1996"	"1996"	"Non-Hispanic Black"	"7"	20	981	20.39
	"Iowa"	"19"	"1997"	"1997"	"Non-Hispanic White"	"6"	192	32685	5.87
	"Iowa"	"19"	"1997"	"1997"	"Non-Hispanic Black"	"7"	14	1049	13.35 (Unreliable)
	"Iowa"	"19"	"1998"	"1998"	"Non-Hispanic White"	"6"	208	33188	6.27
	"Iowa"	"19"	"1998"	"1998"	"Non-Hispanic Black"	"7"	16	1034	15.47 (Unreliable)
	"Kansas"	"20"	"1995"	"1995"	"Non-Hispanic White"	"6"	180	30010	6.00
	"Kansas"	"20"	"1995"	"1995"	"Non-Hispanic Black"	"7"	45	2857	15.75
	"Kansas"	"20"	"1996"	"1996"	"Non-Hispanic White"	"6"	214	29288	7.31
	"Kansas"	"20"	"1996"	"1996"	"Non-Hispanic Black"	"7"	55	2740	20.07
	"Kansas"	"20"	"1997"	"1997"	"Non-Hispanic White"	"6"	198	29430	6.73
	"Kansas"	"20"	"1997"	"1997"	"Non-Hispanic Black"	"7"	41	2766	14.82
	"Kansas"	"20"	"1998"	"1998"	"Non-Hispanic White"	"6"	222	30013	7.40
	"Kansas"	"20"	"1998"	"1998"	"Non-Hispanic Black"	"7"	23	2759	8.34
	"Kentucky"	"21"	"1995"	"1995"	"Non-Hispanic White"	"6"	336	46634	7.21
	"Kentucky"	"21"	"1995"	"1995"	"Non-Hispanic Black"	"7"	52	4759	10.93
	"Kentucky"	"21"	"1996"	"1996"	"Non-Hispanic White"	"6"	320	46727	6.85
	"Kentucky"	"21"	"1996"	"1996"	"Non-Hispanic Black"	"7"	61	4830	12.63
	"Kentucky"	"21"	"1997"	"1997"	"Non-Hispanic White"	"6"	323	47230	6.84
	"Kentucky"	"21"	"1997"	"1997"	"Non-Hispanic Black"	"7"	46	4630	9.94
	"Kentucky"	"21"	"1998"	"1998"	"Non-Hispanic White"	"6"	329	48095	6.84
	"Kentucky"	"21"	"1998"	"1998"	"Non-Hispanic Black"	"7"	70	4845	14.45
	"Louisiana"	"22"	"1995"	"1995"	"Non-Hispanic White"	"6"	235	36448	6.45
	"Louisiana"	"22"	"1995"	"1995"	"Non-Hispanic Black"	"7"	400	26784	14.93
	"Louisiana"	"22"	"1996"	"1996"	"Non-Hispanic White"	"6"	242	36184	6.69
	"Louisiana"	"22"	"1996"	"1996"	"Non-Hispanic Black"	"7"	326	26438	12.33
	"Louisiana"	"22"	"1997"	"1997"	"Non-Hispanic White"	"6"	253	36445	6.94
	"Louisiana"	"22"	"1997"	"1997"	"Non-Hispanic Black"	"7"	362	27097	13.36
	"Louisiana"	"22"	"1998"	"1998"	"Non-Hispanic White"	"6"	229	36756	6.23
	"Louisiana"	"22"	"1998"	"1998"	"Non-Hispanic Black"	"7"	369	27385	13.47
	"Maine"	"23"	"1995"	"1995"	"Non-Hispanic White"	"6"	82	13248	6.19
	"Maine"	"23"	"1996"	"1996"	"Non-Hispanic White"	"6"	50	12951	3.86
	"Maine"	"23"	"1996"	"1996"	"Non-Hispanic Black"	"7"	Suppressed	80	Suppressed
	"Maine"	"23"	"1997"	"1997"	"Non-Hispanic White"	"6"	67	12656	5.29
	"Maine"	"23"	"1998"	"1998"	"Non-Hispanic White"	"6"	82	12674	6.47
	"Maine"	"23"	"1998"	"1998"	"Non-Hispanic Black"	"7"	Suppressed	78	Suppressed
	"Maryland"	"24"	"1995"	"1995"	"Non-Hispanic White"	"6"	253	43477	5.82
	"Maryland"	"24"	"1995"	"1995"	"Non-Hispanic Black"	"7"	347	22348	15.53
	"Maryland"	"24"	"1996"	"1996"	"Non-Hispanic White"	"6"	242	42214	5.73
	"Maryland"	"24"	"1996"	"1996"	"Non-Hispanic Black"	"7"	308	22497	13.69
	"Maryland"	"24"	"1997"	"1997"	"Non-Hispanic White"	"6"	227	40890	5.55
	"Maryland"	"24"	"1997"	"1997"	"Non-Hispanic Black"	"7"	348	22490	15.47
	"Maryland"	"24"	"1998"	"1998"	"Non-Hispanic White"	"6"	234	40893	5.72
	"Maryland"	"24"	"1998"	"1998"	"Non-Hispanic Black"	"7"	334	23741	14.07
	"Massachusetts"	"25"	"1995"	"1995"	"Non-Hispanic White"	"6"	267	63067	4.23
	"Massachusetts"	"25"	"1995"	"1995"	"Non-Hispanic Black"	"7"	64	6272	10.20
	"Massachusetts"	"25"	"1996"	"1996"	"Non-Hispanic White"	"6"	266	62052	4.29
	"Massachusetts"	"25"	"1996"	"1996"	"Non-Hispanic Black"	"7"	68	5886	11.55
	"Massachusetts"	"25"	"1997"	"1997"	"Non-Hispanic White"	"6"	273	61446	4.44
	"Massachusetts"	"25"	"1997"	"1997"	"Non-Hispanic Black"	"7"	62	6208	9.99
	"Massachusetts"	"25"	"1998"	"1998"	"Non-Hispanic White"	"6"	279	62073	4.49
	"Massachusetts"	"25"	"1998"	"1998"	"Non-Hispanic Black"	"7"	66	6322	10.44
	"Michigan"	"26"	"1995"	"1995"	"Non-Hispanic White"	"6"	619	95715	6.47
	"Michigan"	"26"	"1995"	"1995"	"Non-Hispanic Black"	"7"	409	24679	16.57
	"Michigan"	"26"	"1996"	"1996"	"Non-Hispanic White"	"6"	582	94990	6.13
	"Michigan"	"26"	"1996"	"1996"	"Non-Hispanic Black"	"7"	387	23792	16.27
	"Michigan"	"26"	"1997"	"1997"	"Non-Hispanic White"	"6"	580	93875	6.18
	"Michigan"	"26"	"1997"	"1997"	"Non-Hispanic Black"	"7"	385	23957	16.07
	"Michigan"	"26"	"1998"	"1998"	"Non-Hispanic White"	"6"	595	92972	6.40
	"Michigan"	"26"	"1998"	"1998"	"Non-Hispanic Black"	"7"	365	24007	15.20
	"Minnesota"	"27"	"1995"	"1995"	"Non-Hispanic White"	"6"	306	49834	6.14
	"Minnesota"	"27"	"1995"	"1995"	"Non-Hispanic Black"	"7"	42	2705	15.53
	"Minnesota"	"27"	"1996"	"1996"	"Non-Hispanic White"	"6"	269	50726	5.30
	"Minnesota"	"27"	"1996"	"1996"	"Non-Hispanic Black"	"7"	36	3049	11.81
	"Minnesota"	"27"	"1997"	"1997"	"Non-Hispanic White"	"6"	278	51234	5.43
	"Minnesota"	"27"	"1997"	"1997"	"Non-Hispanic Black"	"7"	43	3284	13.09
	"Minnesota"	"27"	"1998"	"1998"	"Non-Hispanic White"	"6"	273	51089	5.34
	"Minnesota"	"27"	"1998"	"1998"	"Non-Hispanic Black"	"7"	43	3594	11.96
	"Mississippi"	"28"	"1995"	"1995"	"Non-Hispanic White"	"6"	146	21321	6.85
	"Mississippi"	"28"	"1995"	"1995"	"Non-Hispanic Black"	"7"	277	19241	14.40
	"Mississippi"	"28"	"1996"	"1996"	"Non-Hispanic White"	"6"	162	21156	7.66
	"Mississippi"	"28"	"1996"	"1996"	"Non-Hispanic Black"	"7"	275	18958	14.51
	"Mississippi"	"28"	"1997"	"1997"	"Non-Hispanic White"	"6"	159	21663	7.34
	"Mississippi"	"28"	"1997"	"1997"	"Non-Hispanic Black"	"7"	277	18961	14.61
	"Mississippi"	"28"	"1998"	"1998"	"Non-Hispanic White"	"6"	139	22523	6.17
	"Mississippi"	"28"	"1998"	"1998"	"Non-Hispanic Black"	"7"	287	19343	14.84
	"Missouri"	"29"	"1995"	"1995"	"Non-Hispanic White"	"6"	371	59423	6.24
	"Missouri"	"29"	"1995"	"1995"	"Non-Hispanic Black"	"7"	145	10990	13.19
	"Missouri"	"29"	"1996"	"1996"	"Non-Hispanic White"	"6"	380	59757	6.36
	"Missouri"	"29"	"1996"	"1996"	"Non-Hispanic Black"	"7"	166	11089	14.97
	"Missouri"	"29"	"1997"	"1997"	"Non-Hispanic White"	"6"	367	59788	6.14
	"Missouri"	"29"	"1997"	"1997"	"Non-Hispanic Black"	"7"	167	10999	15.18
	"Missouri"	"29"	"1998"	"1998"	"Non-Hispanic White"	"6"	376	60554	6.21
	"Missouri"	"29"	"1998"	"1998"	"Non-Hispanic Black"	"7"	186	11367	16.36
	"Montana"	"30"	"1995"	"1995"	"Non-Hispanic White"	"6"	67	9226	7.26
	"Montana"	"30"	"1996"	"1996"	"Non-Hispanic White"	"6"	57	8894	6.41
	"Montana"	"30"	"1997"	"1997"	"Non-Hispanic White"	"6"	53	8818	6.01
	"Montana"	"30"	"1998"	"1998"	"Non-Hispanic White"	"6"	64	8951	7.15
	"Nebraska"	"31"	"1995"	"1995"	"Non-Hispanic White"	"6"	135	19289	7.00
	"Nebraska"	"31"	"1995"	"1995"	"Non-Hispanic Black"	"7"	11	1209	9.10 (Unreliable)
	"Nebraska"	"31"	"1996"	"1996"	"Non-Hispanic White"	"6"	158	19050	8.29
	"Nebraska"	"31"	"1996"	"1996"	"Non-Hispanic Black"	"7"	17	1193	14.25 (Unreliable)
	"Nebraska"	"31"	"1997"	"1997"	"Non-Hispanic White"	"6"	126	18817	6.70
	"Nebraska"	"31"	"1997"	"1997"	"Non-Hispanic Black"	"7"	21	1236	16.99
	"Nebraska"	"31"	"1998"	"1998"	"Non-Hispanic White"	"6"	121	18753	6.45
	"Nebraska"	"31"	"1998"	"1998"	"Non-Hispanic Black"	"7"	24	1227	19.56
	"Nevada"	"32"	"1995"	"1995"	"Non-Hispanic White"	"6"	93	15459	6.02
	"Nevada"	"32"	"1995"	"1995"	"Non-Hispanic Black"	"7"	16	1863	8.59 (Unreliable)
	"Nevada"	"32"	"1996"	"1996"	"Non-Hispanic White"	"6"	90	15386	5.85
	"Nevada"	"32"	"1996"	"1996"	"Non-Hispanic Black"	"7"	25	1941	12.88
	"Nevada"	"32"	"1997"	"1997"	"Non-Hispanic White"	"6"	106	15121	7.01
	"Nevada"	"32"	"1997"	"1997"	"Non-Hispanic Black"	"7"	23	2064	11.14
	"Nevada"	"32"	"1998"	"1998"	"Non-Hispanic White"	"6"	112	15603	7.18
	"Nevada"	"32"	"1998"	"1998"	"Non-Hispanic Black"	"7"	32	2182	14.67
	"New Hampshire"	"33"	"1995"	"1995"	"Non-Hispanic White"	"6"	71	13659	5.20
	"New Hampshire"	"33"	"1996"	"1996"	"Non-Hispanic White"	"6"	58	13649	4.25
	"New Hampshire"	"33"	"1997"	"1997"	"Non-Hispanic White"	"6"	56	13350	4.19
	"New Hampshire"	"33"	"1998"	"1998"	"Non-Hispanic White"	"6"	55	13332	4.13
