"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"New Jersey"	"34"	"1995"	"1995"	"Non-Hispanic White"	"6"	344	69375	4.96
	"New Jersey"	"34"	"1995"	"1995"	"Non-Hispanic Black"	"7"	240	19518	12.30
	"New Jersey"	"34"	"1996"	"1996"	"Non-Hispanic White"	"6"	293	67216	4.36
	"New Jersey"	"34"	"1996"	"1996"	"Non-Hispanic Black"	"7"	287	19227	14.93
	"New Jersey"	"34"	"1997"	"1997"	"Non-Hispanic White"	"6"	272	66168	4.11
	"New Jersey"	"34"	"1997"	"1997"	"Non-Hispanic Black"	"7"	273	19302	14.14
	"New Jersey"	"34"	"1998"	"1998"	"Non-Hispanic White"	"6"	286	66244	4.32
	"New Jersey"	"34"	"1998"	"1998"	"Non-Hispanic Black"	"7"	255	19424	13.13
	"New Mexico"	"35"	"1995"	"1995"	"Non-Hispanic White"	"6"	63	9914	6.35
	"New Mexico"	"35"	"1995"	"1995"	"Non-Hispanic Black"	"7"	Suppressed	473	Suppressed
	"New Mexico"	"35"	"1996"	"1996"	"Non-Hispanic White"	"6"	67	10085	6.64
	"New Mexico"	"35"	"1996"	"1996"	"Non-Hispanic Black"	"7"	Suppressed	439	Suppressed
	"New Mexico"	"35"	"1997"	"1997"	"Non-Hispanic White"	"6"	52	9545	5.45
	"New Mexico"	"35"	"1997"	"1997"	"Non-Hispanic Black"	"7"	Suppressed	477	Suppressed
	"New Mexico"	"35"	"1998"	"1998"	"Non-Hispanic White"	"6"	67	9453	7.09
	"New Mexico"	"35"	"1998"	"1998"	"Non-Hispanic Black"	"7"	Suppressed	468	Suppressed
	"New York"	"36"	"1995"	"1995"	"Non-Hispanic White"	"6"	636	121349	5.24
	"New York"	"36"	"1995"	"1995"	"Non-Hispanic Black"	"7"	721	49730	14.50
	"New York"	"36"	"1996"	"1996"	"Non-Hispanic White"	"6"	541	119291	4.54
	"New York"	"36"	"1996"	"1996"	"Non-Hispanic Black"	"7"	654	48096	13.60
	"New York"	"36"	"1997"	"1997"	"Non-Hispanic White"	"6"	550	117641	4.68
	"New York"	"36"	"1997"	"1997"	"Non-Hispanic Black"	"7"	582	47172	12.34
	"New York"	"36"	"1998"	"1998"	"Non-Hispanic White"	"6"	547	124220	4.40
	"New York"	"36"	"1998"	"1998"	"Non-Hispanic Black"	"7"	579	48533	11.93
	"North Carolina"	"37"	"1995"	"1995"	"Non-Hispanic White"	"6"	457	67262	6.79
	"North Carolina"	"37"	"1995"	"1995"	"Non-Hispanic Black"	"7"	422	26833	15.73
	"North Carolina"	"37"	"1996"	"1996"	"Non-Hispanic White"	"6"	492	68481	7.18
	"North Carolina"	"37"	"1996"	"1996"	"Non-Hispanic Black"	"7"	400	27029	14.80
	"North Carolina"	"37"	"1997"	"1997"	"Non-Hispanic White"	"6"	487	69102	7.05
	"North Carolina"	"37"	"1997"	"1997"	"Non-Hispanic Black"	"7"	417	27376	15.23
	"North Carolina"	"37"	"1998"	"1998"	"Non-Hispanic White"	"6"	473	71294	6.63
	"North Carolina"	"37"	"1998"	"1998"	"Non-Hispanic Black"	"7"	483	28153	17.16
	"North Dakota"	"38"	"1995"	"1995"	"Non-Hispanic White"	"6"	46	7375	6.24
	"North Dakota"	"38"	"1996"	"1996"	"Non-Hispanic White"	"6"	37	7135	5.19
	"North Dakota"	"38"	"1997"	"1997"	"Non-Hispanic White"	"6"	43	7100	6.06
	"North Dakota"	"38"	"1997"	"1997"	"Non-Hispanic Black"	"7"	Suppressed	80	Suppressed
	"North Dakota"	"38"	"1998"	"1998"	"Non-Hispanic White"	"6"	54	6707	8.05
	"Ohio"	"39"	"1995"	"1995"	"Non-Hispanic White"	"6"	926	126215	7.34
	"Ohio"	"39"	"1995"	"1995"	"Non-Hispanic Black"	"7"	367	22702	16.17
	"Ohio"	"39"	"1996"	"1996"	"Non-Hispanic White"	"6"	791	124295	6.36
	"Ohio"	"39"	"1996"	"1996"	"Non-Hispanic Black"	"7"	337	21876	15.41
	"Ohio"	"39"	"1997"	"1997"	"Non-Hispanic White"	"6"	818	123489	6.62
	"Ohio"	"39"	"1997"	"1997"	"Non-Hispanic Black"	"7"	318	22120	14.38
	"Ohio"	"39"	"1998"	"1998"	"Non-Hispanic White"	"6"	850	123800	6.87
	"Ohio"	"39"	"1998"	"1998"	"Non-Hispanic Black"	"7"	305	22286	13.69
	"Oklahoma"	"40"	"1995"	"1995"	"Non-Hispanic White"	"6"	274	33727	8.12
	"Oklahoma"	"40"	"1995"	"1995"	"Non-Hispanic Black"	"7"	58	4469	12.98
	"Oklahoma"	"40"	"1996"	"1996"	"Non-Hispanic White"	"6"	247	33772	7.31
	"Oklahoma"	"40"	"1996"	"1996"	"Non-Hispanic Black"	"7"	76	4459	17.04
	"Oklahoma"	"40"	"1997"	"1997"	"Non-Hispanic White"	"6"	245	34750	7.05
	"Oklahoma"	"40"	"1997"	"1997"	"Non-Hispanic Black"	"7"	62	4676	13.26
	"Oklahoma"	"40"	"1998"	"1998"	"Non-Hispanic White"	"6"	298	35059	8.50
	"Oklahoma"	"40"	"1998"	"1998"	"Non-Hispanic Black"	"7"	60	4688	12.80
	"Oregon"	"41"	"1995"	"1995"	"Non-Hispanic White"	"6"	216	34781	6.21
	"Oregon"	"41"	"1995"	"1995"	"Non-Hispanic Black"	"7"	12	860	13.95 (Unreliable)
	"Oregon"	"41"	"1996"	"1996"	"Non-Hispanic White"	"6"	176	34990	5.03
	"Oregon"	"41"	"1996"	"1996"	"Non-Hispanic Black"	"7"	Suppressed	873	Suppressed
	"Oregon"	"41"	"1997"	"1997"	"Non-Hispanic White"	"6"	188	34369	5.47
