"Notes","State","State Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Montana","30","1995","1995",79,11142,7.09
,"Montana","30","1996","1996",74,10856,6.82
,"Montana","30","1997","1997",74,10849,6.82
,"Montana","30","1998","1998",83,10795,7.69
"Total","Montana","30",,,310,43642,7.10
,"Nebraska","31","1995","1995",173,23243,7.44
,"Nebraska","31","1996","1996",202,23286,8.67
,"Nebraska","31","1997","1997",176,23319,7.55
,"Nebraska","31","1998","1998",172,23534,7.31
"Total","Nebraska","31",,,723,93382,7.74
,"Nevada","32","1995","1995",144,25056,5.75
,"Nevada","32","1996","1996",160,26125,6.12
,"Nevada","32","1997","1997",177,26911,6.58
,"Nevada","32","1998","1998",205,28699,7.14
"Total","Nevada","32",,,686,106791,6.42
,"New Hampshire","33","1995","1995",78,14665,5.32
,"New Hampshire","33","1996","1996",70,14520,4.82
,"New Hampshire","33","1997","1997",61,14313,4.26
,"New Hampshire","33","1998","1998",63,14429,4.37
"Total","New Hampshire","33",,,273,57927,4.71
,"New Jersey","34","1995","1995",753,114828,6.56
,"New Jersey","34","1996","1996",781,114306,6.83
,"New Jersey","34","1997","1997",717,113279,6.33
,"New Jersey","34","1998","1998",731,114550,6.38
"Total","New Jersey","34",,,2984,456963,6.53
,"New Mexico","35","1995","1995",167,26920,6.20
,"New Mexico","35","1996","1996",175,27228,6.43
,"New Mexico","35","1997","1997",165,26871,6.14
,"New Mexico","35","1998","1998",197,27318,7.21
"Total","New Mexico","35",,,704,108337,6.50
,"New York","36","1995","1995",2084,271369,7.68
,"New York","36","1996","1996",1837,263963,6.96
,"New York","36","1997","1997",1721,257238,6.69
,"New York","36","1998","1998",1612,258207,6.24
"Total","New York","36",,,7254,1050777,6.90
,"North Carolina","37","1995","1995",935,101592,9.20
,"North Carolina","37","1996","1996",951,104470,9.10
,"North Carolina","37","1997","1997",989,107015,9.24
,"North Carolina","37","1998","1998",1036,111688,9.28
"Total","North Carolina","37",,,3912,424765,9.21
,"North Dakota","38","1995","1995",60,8476,7.08
,"North Dakota","38","1996","1996",45,8347,5.39
,"North Dakota","38","1997","1997",53,8353,6.35
,"North Dakota","38","1998","1998",70,7932,8.83
"Total","North Dakota","38",,,228,33108,6.89
,"Ohio","39","1995","1995",1336,154064,8.67
,"Ohio","39","1996","1996",1170,151692,7.71
,"Ohio","39","1997","1997",1185,152033,7.79
,"Ohio","39","1998","1998",1212,152794,7.93
"Total","Ohio","39",,,4902,610583,8.03
,"Oklahoma","40","1995","1995",380,45672,8.32
,"Oklahoma","40","1996","1996",388,46193,8.40
