"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Delaware"	"10"	"2001"	"2001"	"Non-Hispanic Black"	"7"	51	2684	19.00
	"Delaware"	"10"	"2002"	"2002"	"Non-Hispanic White"	"6"	51	6629	7.69
	"Delaware"	"10"	"2002"	"2002"	"Non-Hispanic Black"	"7"	32	2684	11.92
	"District of Columbia"	"11"	"1999"	"1999"	"Non-Hispanic White"	"6"	10	1411	7.09 (Unreliable)
	"District of Columbia"	"11"	"1999"	"1999"	"Non-Hispanic Black"	"7"	100	5116	19.55
	"District of Columbia"	"11"	"2000"	"2000"	"Non-Hispanic Black"	"7"	81	5108	15.86
	"District of Columbia"	"11"	"2001"	"2001"	"Non-Hispanic Black"	"7"	73	4805	15.19
	"District of Columbia"	"11"	"2002"	"2002"	"Non-Hispanic Black"	"7"	67	4563	14.68
	"Florida"	"12"	"1999"	"1999"	"Non-Hispanic White"	"6"	625	106383	5.87
	"Florida"	"12"	"1999"	"1999"	"Non-Hispanic Black"	"7"	573	44083	13.00
	"Florida"	"12"	"2000"	"2000"	"Non-Hispanic White"	"6"	558	106201	5.25
	"Florida"	"12"	"2000"	"2000"	"Non-Hispanic Black"	"7"	574	46233	12.42
	"Florida"	"12"	"2001"	"2001"	"Non-Hispanic White"	"6"	597	104068	5.74
	"Florida"	"12"	"2001"	"2001"	"Non-Hispanic Black"	"7"	602	45954	13.10
	"Florida"	"12"	"2002"	"2002"	"Non-Hispanic White"	"6"	612	102294	5.98
	"Florida"	"12"	"2002"	"2002"	"Non-Hispanic Black"	"7"	608	45257	13.43
	"Georgia"	"13"	"1999"	"1999"	"Non-Hispanic White"	"6"	392	70016	5.60
	"Georgia"	"13"	"1999"	"1999"	"Non-Hispanic Black"	"7"	569	41532	13.70
	"Georgia"	"13"	"2000"	"2000"	"Non-Hispanic White"	"6"	421	70521	5.97
	"Georgia"	"13"	"2000"	"2000"	"Non-Hispanic Black"	"7"	592	43418	13.63
	"Georgia"	"13"	"2001"	"2001"	"Non-Hispanic White"	"6"	447	69306	6.45
	"Georgia"	"13"	"2001"	"2001"	"Non-Hispanic Black"	"7"	564	43076	13.09
	"Georgia"	"13"	"2002"	"2002"	"Non-Hispanic White"	"6"	450	68269	6.59
	"Georgia"	"13"	"2002"	"2002"	"Non-Hispanic Black"	"7"	571	42001	13.59
	"Hawaii"	"15"	"1999"	"1999"	"Non-Hispanic White"	"6"	20	3340	5.99
	"Hawaii"	"15"	"2000"	"2000"	"Non-Hispanic White"	"6"	23	3285	7.00
	"Hawaii"	"15"	"2001"	"2001"	"Non-Hispanic White"	"6"	19	3119	6.09 (Unreliable)
	"Hawaii"	"15"	"2002"	"2002"	"Non-Hispanic White"	"6"	19	3200	5.94 (Unreliable)
	"Idaho"	"16"	"1999"	"1999"	"Non-Hispanic White"	"6"	115	16810	6.84
	"Idaho"	"16"	"2000"	"2000"	"Non-Hispanic White"	"6"	120	17021	7.05
	"Idaho"	"16"	"2001"	"2001"	"Non-Hispanic White"	"6"	99	16855	5.87
	"Idaho"	"16"	"2002"	"2002"	"Non-Hispanic White"	"6"	99	17074	5.80
	"Illinois"	"17"	"1999"	"1999"	"Non-Hispanic White"	"6"	634	103430	6.13
	"Illinois"	"17"	"1999"	"1999"	"Non-Hispanic Black"	"7"	605	34023	17.78
	"Illinois"	"17"	"2000"	"2000"	"Non-Hispanic White"	"6"	636	103267	6.16
	"Illinois"	"17"	"2000"	"2000"	"Non-Hispanic Black"	"7"	562	34080	16.49
	"Illinois"	"17"	"2001"	"2001"	"Non-Hispanic White"	"6"	619	101660	6.09
	"Illinois"	"17"	"2001"	"2001"	"Non-Hispanic Black"	"7"	495	32995	15.00
	"Illinois"	"17"	"2002"	"2002"	"Non-Hispanic White"	"6"	553	99346	5.57
